habilidade_code,component_id,description
EF02LP24,f6667bd2-afa2-4dea-8a45-c351da0951fc,Adapt content of investigative texts to the communicative situation and purpose of oral delivery
EF02LP23,24819a10-8dca-4c30-8890-f9ea96d38d03,Plan a brief observation log coherent with an investigated topic
EF02LP23,4203ae41-c8ce-4aff-9ef9-f12820038964,Produce a brief observation log of research findings with some independence
EF02LP22,88f6300e-ac99-4f76-9b7d-522caf1b1d4a,Plan brief investigative-field texts such as experiment reports or encyclopedia entries collaboratively
EF02LP22,554cec9b-c113-4f15-8979-d5527a759225,Produce brief investigative-field texts in digital or print form considering communicative situation and purpose
EF02LP22,45b44545-f952-4c5d-ad31-9355a21ef500,Select content appropriate to the topic and purpose when producing investigative-field genres
EF02LP21,938224ef-4ed2-484c-b531-6ad81a04f3fb,Navigate informational texts in different digital research environments with teacher mediation
EF02LP21,45461b8a-db67-40cb-9425-aeffc22d16a4,Identify possibilities offered by digital informational text environments
EF02LP20,6697ee45-62e6-467f-af29-fb5f4ad33e8d,Recognize the communicative function of texts that present research findings
EF02LP20,862c3fe9-793b-4da6-a235-795c60a64dc8,"Identify genres such as surveys, brief interviews, and experiment logs as vehicles for presenting research information"
EF02LP19,27c62683-d56d-4eca-8e82-c5f02a8495cc,Plan a short news story for a child audience to be included in a spoken-news broadcast
EF02LP19,a8b921c1-8029-41ae-92e1-4f1bc48e8171,Produce a short news story for oral or digital delivery considering the communicative situation
EF02LP19,dbdf7b78-43e8-42e6-90dc-9a3ae9b1c9fa,Adapt journalistic content to the topic and audience of a children's spoken-news broadcast
EF02LP18,d3392c15-9343-480f-9176-47ba2fd8253b,Choose language style and tone appropriate to a specific audience and purpose
EF02LP18,09035375-772d-4d90-88a4-e6f3d926a026,"Select visual and textual elements such as font size, layout, and images appropriate to the genre"
EF02LP18,c1c1d96f-2495-47c5-8844-8f16175d3ec7,Plan and produce a poster or flyer considering the communicative situation and topic of the event
EF05LP16,d3bfcaf1-a87e-4277-b7d6-7a1f9860d235,Compare how different media or formats present the same information and assess their relative effectiveness
EF05LP16,8e5635f3-24e2-4e6a-9fbf-3fbb291d3be3,"Identify differences in facts, emphasis, or framing across news sources"
EF05LP16,a910a27b-7244-4df1-a897-3e32568ce85e,Evaluate the reliability of a news source based on textual evidence
EF05LP16,b2edcd45-1bd8-436c-82fa-db0e42ae605e,Justify which source is more trustworthy and explain the reasoning
EF12LP01,46db32db-f95c-4c3c-b250-16a85590f709,Apply letter-sound correspondences to decode unfamiliar multisyllabic words
EF12LP01,c5b57cc4-0d39-43fe-a232-ff9bf8497e60,Recognize and read irregularly spelled high-frequency words by sight
EF12LP01,e4f3dfc3-cc02-4f26-b564-6cc1286e5323,Distinguish between words that require decoding and those recognized by sight
EF09LP12,f84a230e-4a2e-4886-9a49-388acf1da6ab,Identify loanwords and foreign borrowings in Portuguese texts
EF09LP12,d6df1b3f-81b6-43c6-b35e-2708d2f138dd,Classify borrowings according to whether their original graphic form is preserved
EF09LP12,399546de-22c9-4175-98b0-ec13185c471b,Evaluate the appropriateness of using a loanword in a given context
EF08LP07,72e68e64-cbc2-45eb-a601-19fc9d517537,Differentiate direct objects from indirect objects of transitive verbs in texts
EF08LP07,8db9041c-73b8-4f4d-b84a-7fd4337f0faa,Identify the complementation patterns of frequently used transitive verbs
EF08LP07,9cf6a1a3-c885-4b80-8424-96c69cf5dc72,Distinguish between direct and indirect objects in self-produced texts
EF08LP06,f80cdf48-64c9-4195-a6a2-9c7608c26e72,Identify the subject and its modifiers within a clause
EF08LP06,88fdb39e-8c61-4d69-b82a-d9d4c7aa8094,Identify the verb and its complements within a clause
EF08LP06,2bb10da9-ba7e-4b6b-bdc6-84276b437ef9,Identify adverbial and other modifiers that expand the verb in a clause
EF08LP06,1361c64c-19e3-42d6-89db-fe1bb5830e75,Describe the constituent elements of a clause in read or self-produced texts
EF08LP05,a8a96636-c918-4ef7-a2b7-be75ce62c02b,Distinguish between compound words formed by agglutination and those formed by juxtaposition
EF08LP05,e6a2bbc3-8714-4ae2-8207-cd752b32843f,Analyze the word-formation process used to create a given compound word
EF08LP05,a0e2b966-dd90-4103-bf49-710c0219638c,Apply basic rules governing hyphen use in compound words
EF08LP04,12f10265-0c6f-4fa8-94b9-9103713a58d5,Apply correct spelling conventions in self-produced texts
EF08LP04,b084b603-e20a-472f-97e9-db74a244e236,Apply rules of nominal and verbal agreement in text production
EF08LP04,e6e3b1d7-891a-4401-b56e-38e51bab17d3,Use appropriate verbal moods and tenses in self-produced texts
EF08LP04,7c8cf153-0156-4e02-89c7-512a78aa6f67,Apply verbal and nominal government (valency) correctly in written texts
EF08LP04,186d7a43-d5a8-4003-8ab7-66e974cd922c,Use punctuation conventions accurately in complex sentences and formal writing
EF08LP03,74f100a2-5488-4b87-9615-e68d92e2327c,Defend a clear point of view in an opinion article
EF08LP03,7b68db90-9e43-454c-9ccb-db93587b662c,Use arguments and counterarguments to support a position in an opinion article
EF08LP03,40c63807-415e-4e79-8517-fcbc9b3cf038,"Apply cohesive connectors signaling opposition, contrast, exemplification, or emphasis"
EF08LP03,5c8796c7-710f-465f-8fb7-0870fc5c561f,Produce an opinion article adapted to its specific production context
EF08LP02,d3bfcaf1-a87e-4277-b7d6-7a1f9860d235,Compare how different media or formats present the same information and assess their relative effectiveness
EF08LP02,85231772-3fa8-4792-8880-f4fe4502e3ff,Justify similarities or differences in treatment of information across texts
EF08LP02,1d749a2b-635c-4f44-b6bd-1ad716d4f22e,Consult fact-checking websites to verify the reliability of information
EF08LP01,de0952f4-1003-459c-88d1-b5313b4d1760,Identify the different editorial sections of print and digital newspapers
EF08LP01,a8ace160-7879-4b79-ae60-3698e4b23a21,Compare the types of events reported and commented on across news outlets
EF08LP01,f9287867-14c5-4dbc-ae11-c3c205592ce8,"Analyze editorial choices regarding what is covered, omitted, or emphasized"
EF08LP01,6f8055f2-2b6b-460c-9d03-9e47ea5d365a,Evaluate the reliability of information based on its source and framing
EF07LP14,dff20354-4302-4bcf-8bba-dc86b46e47f7,Identify modalization strategies used in a text
EF07LP14,4d7e776a-3402-4069-ae1d-1fcb3fe8cf5e,Explain the effects of meaning produced by modalization in context
EF07LP13,e4aaa7ed-7d3e-4188-b123-4cb3542e3768,Identify lexical substitutions that replace nouns with synonyms in a text
EF07LP13,3538e057-145a-4ed6-8b86-07d1d9ba82c4,Identify pronominal substitutions using anaphoric pronouns in a text
EF07LP13,684873b2-e943-49eb-ba7e-89f45c7ca08e,Explain how lexical and pronominal substitutions contribute to textual continuity
EF07LP12,e819148b-a23e-4305-8cd7-22205e9dd533,Recognize lexical substitution as a referential cohesion device in texts
EF07LP12,d8c9c5a9-84cc-48f0-aa12-6594bb9119d3,"Recognize pronominal substitution using personal, possessive, and demonstrative pronouns as a cohesion device"
EF07LP12,4bd9e1ac-8d35-470e-a918-e9afcbc333fa,Identify the noun referent that an anaphoric pronoun replaces in a text
EF07LP11,7c5f7017-afb7-491f-8f6b-8437d221ccb4,Identify compound sentences whose clauses are connected by a comma in texts
EF07LP11,2ad593d5-1a39-48b9-9850-5672ad68175b,Identify coordinating conjunctions joining independent clauses in compound sentences
EF07LP10,d30adc09-d0e4-4c2f-bf0b-336f2e5b3b0b,Apply appropriate verbal moods and tenses in self-produced texts
EF07LP10,4cd0fccc-24f2-44ab-aa58-617fb93aa9b8,Apply nominal and verbal agreement rules in text production
EF07LP10,03bc3fb1-0cca-4c49-82d6-f681029d656a,"Use punctuation conventions correctly, including commas, semicolons, and ellipses, in writing"
EF07LP09,021d08cf-64c1-4ce2-a2dd-ac1341a5b992,Identify adverbs that expand the meaning of a verb in a clause
EF07LP08,6a0d2fad-6353-423c-a052-52cbf79563d9,Identify adjectives that expand the meaning of a noun functioning as subject
EF07LP07,ad266e3e-c7cc-46c6-ab98-9cf30bbc5a8d,Identify the subject of a clause in read or self-produced texts
EF07LP07,92e7837f-1ddb-4bba-aeea-c57d1b06fb68,Distinguish direct objects from indirect objects within a clause
EF12LP02,025c5fd7-e1c2-46d1-bff0-dd069283e024,Search for texts in print or digital media according to personal needs or interests
EF12LP02,6bbc3041-2442-4cef-aa0a-2b7e5cb163bb,Select appropriate texts to read based on a specific purpose or interest
EF12LP02,5d8deafa-5906-45bc-a1e6-2e665ec28f55,Participate in shared reading activities with a clear purpose set by the teacher or group
EF07LP06,c6487949-b71d-4800-903f-bbd7baad103f,Apply subject-verb agreement rules in complex sentence structures
EF07LP06,2b3b90d8-b154-4c00-8f4f-24f8289de1ea,Apply noun-modifier concord rules in communicative situations and text production
EF04LP09,a93e1119-b5dd-40f1-82ee-358b26577328,Identify the structural fields and layout conventions of utility bills and payment booklets
EF04LP09,48638817-6e2e-4843-b4b0-5e68cf4d0d66,Interpret consumption measurements and listed items in everyday billing documents
EF04LP09,dd136a0e-4e90-4376-907c-115bc32d2281,Recognize the function of barcodes in utility bills and invoices
EF04LP09,132a37f0-d90b-4f9f-bf99-b907d40423cf,Read utility bills and invoices considering their communicative purpose and situation
EF07LP04,641b1639-918d-4de8-8817-1b76b90bbca0,Identify the verb as the nucleus of a clause in a given text
EF07LP04,b5d47cfd-5464-479a-bc45-92295be22718,Distinguish the verb from other constituents within a clause structure
EF07LP04,1cd1f57b-54f2-4d66-8f1f-f1ff28451349,Analyze clauses to locate their verbal nucleus across varied sentence types
EF04LP10,c879bd24-477f-4632-b082-f3c69280a8cb,Identify the structural conventions of the personal complaint letter genre
EF04LP10,6225e0ec-3dcb-42a1-b5b2-f37e623f17a5,Recognize the communicative situation and purpose of a personal complaint letter
EF04LP10,76ceeabe-e014-4202-aa7c-0445bf8895b1,"Read and comprehend the topic, subject, and intent expressed in a personal complaint letter"
EF04LP10,c871d478-adff-4f53-a07b-d605c7f4af2b,Distinguish the complaint letter from other everyday letter genres based on its conventions
EF04LP12,70de2f85-1073-44ca-9900-8d130007ff28,Identify the structural and language features of instructional digital video programs for children
EF04LP12,6c454930-d855-47df-8ef7-98293a0f17e7,Plan a tutorial in audio or video format based on a viewed instructional video
EF04LP12,193be4ed-cab7-4597-ae3f-b2846ee54ba1,Produce a tutorial in audio or video format following the conventions of the genre
EF07LP02,d8e35819-15d0-4d8a-8013-9fd76a46876b,Compare the details emphasized across two different media accounts of the same subject
EF07LP02,53fe1853-4346-45d6-9882-7cc928fa6e5f,Analyze specific characteristics of each medium in multisemiotic news stories
EF07LP02,ba98514c-286f-49bd-b123-13ee69f23a16,Identify processes of elaboration and re-elaboration of texts across different media
EF07LP02,53bb8a63-d129-40f7-adae-f33443df7ded,Recognize media convergence in multisemiotic news stories and reports
EF05LP01,6f95b504-23d1-4797-b749-730e6a3bf413,Apply regular phoneme-grapheme correspondence rules to spell words correctly
EF05LP01,b5987a9f-c80d-4e1e-a3c3-b56c406d3e81,Apply contextual spelling rules to write words with context-dependent correspondences
EF05LP01,41d39c21-59ef-4252-817d-f7c162b47625,Apply morphological rules to spell words with predictable morphological patterns
EF05LP01,18a5a5ae-e5d9-49b8-a726-c647d63defbc,Spell high-frequency words correctly in written work
EF04LP27,0c3aec75-e738-42d8-ae38-8bf34f63f7c1,Identify markers that distinguish characters' speech from stage directions in dramatic texts
EF04LP27,5f03d280-96dd-4d1b-b13a-9a931264a501,Differentiate between dialogue lines and stage directions using textual markers
EF04LP27,84f82c8d-44c5-4594-936a-668251552981,Recognize the formatting conventions used to present characters' speech in dramatic texts
EF04LP26,555e8ea2-f5cc-4ccb-884d-a650b2e9f9d5,Observe the visual layout and typographic distribution of letters in concrete poems
EF04LP26,5e3e7782-3b60-4f7f-b996-5140a63dc426,Identify how the arrangement of text on the page contributes to meaning in concrete poetry
EF04LP26,f6c4c9cd-297b-431f-b6a4-a455b3c1a8e1,Recognize the role of spatial organization as a compositional element in concrete poems
EF04LP25,7afaf05d-e7d5-4e39-ad8b-c11c89a1bb41,Explain how stage directions or descriptions in a drama are reflected in an oral performance
EF04LP25,2a6d6b9d-6f83-4a6e-a673-720208dd5735,Follow movement stage directions indicated by the author when performing dramatic scenes
EF04LP25,eabf61f5-a1d6-4919-a314-5f037d16de9f,Perform scenes from dramatic texts respecting the author's theatrical indications
EF04LP24,ea50a72d-9fd9-478a-899f-b8cc972e2f76,"Identify tables, diagrams, and graphs as means of presenting data in observation and research reports"
EF04LP24,879e20f6-943b-45ed-b730-ca9373cfa981,"Recognize the proper format of tables, diagrams, and graphs within research report genres"
EF04LP24,5d6e1a58-4913-46aa-81a0-29ce876a4f83,"Reproduce tables, diagrams, and graphs in their appropriate format in research reports"
EF04LP23,2e37e9a1-ea0a-48aa-aa3b-d18e5c7f1b8e,Identify the formatting and layout conventions specific to children's encyclopedia entries
EF04LP23,92a56a33-8e06-41e4-a37f-72283e06ad33,"Recognize the structural components of an encyclopedia entry: title, definition, elaboration, and curiosities"
EF04LP23,c3cfc110-3228-4116-8b2d-170f2902251b,Read children's encyclopedia entries considering their communicative purpose and topic
EF04LP23,a4073e47-d176-4939-aeb0-87c8e61f9f68,Reproduce the format and layout of children's encyclopedia entries in written production
EF04LP22,89086ceb-f159-4172-8ca6-333a5cb7648a,Plan a children's encyclopedia entry considering its communicative situation and purpose
EF04LP22,cda3e61a-53a7-4a49-bf40-e1822291e903,Produce a children's encyclopedia entry using genre-appropriate structure and language
EF04LP22,99739eab-488d-4439-afca-e84bd94fab52,Select and organize relevant content to examine a topic in an informative/explanatory text
EF04LP21,7e59fb32-84c2-4677-907d-ae8d811f0a94,Plan a text on a topic of interest drawing on print or electronic research sources
EF04LP21,a8c251fe-a692-47ee-9c42-1f062fe289aa,"Integrate textual descriptions with visual formats such as diagrams, graphs, or tables"
EF04LP21,d74ec066-d112-4acc-ab9c-629ac871c740,Produce a research-based text considering the communicative situation and topic
EF04LP20,32b9525a-90b9-4195-b86b-b22a3eaf2c8b,Recognize the informational function of graphs within expository or research texts
EF04LP20,1926bef0-0210-46eb-8890-c5e5b7fbfeb1,Identify the function of diagrams as visual means of presenting data and information
EF04LP20,50ca5921-4e98-47ea-ac53-d9f6337ff8be,Distinguish the role of tables in organizing and presenting data within texts
EF04LP19,7cc1c5bf-b0c0-498f-921d-72910ce5e560,Identify the topic and subject of expository science popularization texts written for children
EF04LP19,a7dcf91d-09db-4e9f-88ed-d470759c266e,Comprehend information presented in children's science popularization texts
EF04LP19,4dc6b118-e4d2-482b-9e03-2a765e3a10b8,Recognize the communicative situation and purpose of children's science popularization texts
EF04LP18,cc282268-a554-4aa0-95de-347735cbb190,Analyze intonation patterns used by news anchors in radio or television broadcasts
EF04LP18,6bcb0b68-eae8-480e-937f-17c1b081dfdc,"Identify facial and body expressions of news anchors, interviewers, and interviewees"
EF04LP18,1f896a59-9773-4b84-bb51-7edfd9d2f320,Recognize how non-verbal and prosodic features contribute to communication in news media
EF04LP17,59a9fd1b-a42f-4ac5-bf57-66d06c6f9b08,Produce a radio or television news broadcast guided by a script or written text
EF04LP17,c3f82135-0e47-4483-a55d-57e753b7b97c,"Produce an interview for radio, television, or internet guided by a prepared script"
EF04LP17,65fcafd4-ab94-4944-b64f-0f0feb468573,Demonstrate knowledge of the spoken news broadcast and interview genre conventions in oral production
EF04LP16,64245651-b4fc-4f5c-a378-83962a61dcea,Report on a topic or text using appropriate facts and relevant descriptive details
EF04LP16,ab724be4-5b53-42f4-a46d-c854f1fec011,Produce a news article for the school newspaper following genre conventions
EF04LP16,82df6e1f-e2c6-42ad-8cb0-8579b41ddf76,Comment on the consequences of reported events within a school community news article
EF04LP15,f4bbfe1e-0964-4e89-b1f1-6a8799b8bb17,"Distinguish facts from opinions in informational, journalistic, or advertising texts"
EF04LP15,a3f9bd70-30e3-4426-8cb1-db7b536e2630,Identify suggestions as distinct from factual statements within a text
EF04LP15,da1ddcfb-88fa-4ea2-b461-4a588bd0f482,Recognize evaluative or persuasive language that signals opinion rather than fact
EF04LP14,c4c66123-7cd9-4679-ba98-3702148831c9,Identify the facts reported in a news article
EF04LP14,cb6377c1-12c9-498b-b083-a016a40e8b47,Identify the individuals involved in the event described in a news article
EF04LP14,dd238a7a-4579-441d-8543-2208122aec36,Locate the place and time of the reported event within a news article
