bncc_code,stage,grade,subject,description_pt,description_en
EF05CI12,EF,5º,Ciências,"Concluir sobre a periodicidade das fases da Lua, com base na observação e no registro das formas aparentes da Lua no céu ao longo de, pelo menos, dois meses.",Draw conclusions about the periodicity of the Moon's phases based on observation and recording of the Moon's apparent shapes in the sky over a period of at least two months.
EF05CI13,EF,5º,Ciências,"Projetar e construir dispositivos para observação à distância (luneta, periscópio etc.), para observação ampliada de objetos (lupas, microscópios) ou para registro de imagens (máquinas fotográficas) e discutir usos sociais desses dispositivos.","Design and construct devices for distant observation (telescopes, periscopes, etc.), for magnified observation of objects (magnifying glasses, microscopes), or for image recording (cameras), and discuss the social uses of these devices."
EF06CI01,EF,6º,Ciências,"Classificar como homogênea ou heterogênea a mistura de dois ou mais materiais (água e sal, água e óleo, água e areia etc.).","Classify the mixture of two or more materials (water and salt, water and oil, water and sand, etc.) as homogeneous or heterogeneous."
EF06CI02,EF,6º,Ciências,"Identificar evidências de transformações químicas a partir do resultado de misturas de materiais que originam produtos diferentes dos que foram misturados (mistura de ingredientes para fazer um bolo, mistura de vinagre com bicarbonato de sódio etc.).","Identify evidence of chemical transformations based on the results of combining materials that produce products different from those that were mixed (combining ingredients to make a cake, mixing vinegar with baking soda, etc.)."
EF06CI03,EF,6º,Ciências,"Selecionar métodos mais adequados para a separação de diferentes sistemas heterogêneos a partir da identificação de processos de separação de materiais (como a produção de sal de cozinha, a destilação de petróleo, entre outros).","Select the most appropriate methods for separating different heterogeneous systems based on the identification of material separation processes (such as the production of table salt, the distillation of petroleum, among others)."
EF06CI04,EF,6º,Ciências,"Associar a produção de medicamentos e outros materiais sintéticos ao desenvolvimento científico e tecnológico, reconhecendo benefícios e avaliando impactos socioambientais.","Connect the production of medicines and other synthetic materials to scientific and technological development, recognizing their benefits and evaluating their socioenvironmental impacts."
EF06CI05,EF,6º,Ciências,Explicar a organização básica das células e seu papel como unidade estrutural e funcional dos seres vivos.,Explain the basic organization of cells and their role as the structural and functional unit of living organisms.
EF06CI06,EF,6º,Ciências,"Concluir, com base na análise de ilustrações e/ou modelos (físicos ou digitais), que os organismos são um complexo arranjo de sistemas com diferentes níveis de organização.","Conclude, based on the analysis of illustrations and/or models (physical or digital), that organisms are a complex arrangement of systems with different levels of organization."
EF06CI07,EF,6º,Ciências,"Justificar o papel do sistema nervoso na coordenação das ações motoras e sensoriais do corpo, com base na análise de suas estruturas básicas e respectivas funções.","Justify the role of the nervous system in coordinating the body's motor and sensory actions, based on an analysis of its basic structures and their respective functions."
EF06CI08,EF,6º,Ciências,"Explicar a importância da visão (captação e interpretação das imagens) na interação do organismo com o meio e, com base no funcionamento do olho humano, selecionar lentes adequadas para a correção de diferentes defeitos da visão.","Explain the importance of vision (the capture and interpretation of images) in the organism's interaction with the environment, and, based on the functioning of the human eye, select appropriate lenses for correcting different visual impairments."
EF06CI09,EF,6º,Ciências,"Deduzir que a estrutura, a sustentação e a movimentação dos animais resultam da interação entre os sistemas muscular, ósseo e nervoso.","Infer that the structure, support, and movement of animals result from the interaction among the muscular, skeletal, and nervous systems."
EF06CI10,EF,6º,Ciências,Explicar como o funcionamento do sistema nervoso pode ser afetado por substâncias psicoativas.,Explain how the functioning of the nervous system can be affected by psychoactive substances.
EF06CI11,EF,6º,Ciências,Identificar as diferentes camadas que estruturam o planeta Terra (da estrutura interna à atmosfera) e suas principais características.,Identify the different layers that make up planet Earth (from its internal structure to the atmosphere) and their main characteristics.
EF69AR15,EF,"6º, 7º, 8º, 9º",Arte,"Discutir as experiências pessoais e coletivas em dança vivenciadas na escola e em outros contextos, problematizando estereótipos e preconceitos.","Discuss personal and collective dance experiences in school and other contexts, critically examining stereotypes and prejudices."
EF69AR16,EF,"6º, 7º, 8º, 9º",Arte,"Analisar criticamente, por meio da apreciação musical, usos e funções da música em seus contextos de produção e circulação, relacionando as práticas musicais às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética","Critically analyze, through musical appreciation, the uses and functions of music in its contexts of production and circulation, connecting musical practices to the social, cultural, political, historical, economic, aesthetic, and ethical dimensions of life."
EF69AR17,EF,"6º, 7º, 8º, 9º",Arte,"Explorar e analisar, criticamente, diferentes meios e equipamentos culturais de circulação da música e do conhecimento musical.",Explore and critically analyze different cultural media and venues through which music and musical knowledge circulate.
EF69AR18,EF,"6º, 7º, 8º, 9º",Arte,Reconhecer e apreciar o papel de músicos e grupos de música brasileiros e estrangeiros que contribuíram para o desenvolvimento de formas e gêneros musicais.,Recognize and appreciate the role of Brazilian and international musicians and music groups who have contributed to the development of musical forms and genres.
EF69AR19,EF,"6º, 7º, 8º, 9º",Arte,"Identificar e analisar diferentes estilos musicais, contextualizando-os no tempo e no espaço, de modo a aprimorar a capacidade de apreciação da estética musical.","Identify and analyze different musical styles, situating them in their historical and geographic contexts in order to deepen aesthetic appreciation of music."
EF69AR20,EF,"6º, 7º, 8º, 9º",Arte,"Explorar e analisar elementos constitutivos da música (altura, intensidade, timbre, melodia, ritmo etc.), por meio de recursos tecnológicos (games e plataformas digitais), jogos, canções e práticas diversas de composição/criação, execução e apreciação musicais.","Explore and analyze the constituent elements of music (pitch, dynamics, timbre, melody, rhythm, etc.) through technological resources (games and digital platforms), games, songs, and varied practices of musical composition/creation, performance, and appreciation."
EF69AR21,EF,"6º, 7º, 8º, 9º",Arte,"Explorar e analisar fontes e materiais sonoros em práticas de composição/criação, execução e apreciação musical, reconhecendo timbres e características de instrumentos musicais diversos.","Explore and analyze sound sources and materials in musical composition/creation, performance, and appreciation practices, recognizing the timbres and characteristics of diverse musical instruments."
EF69AR22,EF,"6º, 7º, 8º, 9º",Arte,"Explorar e identificar diferentes formas de registro musical (notação musical tradicional, partituras criativas e procedimentos da música contemporânea), bem como procedimentos e técnicas de registro em áudio e audiovisual.","Explore and identify different forms of musical notation (traditional musical notation, graphic scores, and contemporary music procedures), as well as audio and audiovisual recording techniques and procedures."
EF69AR23,EF,"6º, 7º, 8º, 9º",Arte,"Explorar e criar improvisações, composições, arranjos, jingles, trilhas sonoras, entre outros, utilizando vozes, sons corporais e/ou instrumentos acústicos ou eletrônicos, convencionais ou não convencionais, expressando ideias musicais de maneira individual, coletiva e colaborativa.","Explore and create improvisations, compositions, arrangements, jingles, soundtracks, and other works using voices, body sounds, and/or acoustic or electronic instruments, conventional or unconventional, expressing musical ideas individually, collectively, and collaboratively."
EF69AR24,EF,"6º, 7º, 8º, 9º",Arte,"Reconhecer e apreciar artistas e grupos de teatro brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.","Recognize and appreciate Brazilian and international theater artists and companies from different periods, investigating their modes of creation, production, dissemination, circulation, and professional organization in theater."
EF69AR25,EF,"6º, 7º, 8º, 9º",Arte,"Identificar e analisar diferentes estilos cênicos, contextualizando-os no tempo e no espaço de modo a aprimorar a capacidade de apreciação da estética teatral.","Identify and analyze different theatrical styles, situating them in their historical and geographic contexts in order to deepen aesthetic appreciation of theater."
EF69AR26,EF,"6º, 7º, 8º, 9º",Arte,"Explorar diferentes elementos envolvidos na composição dos acontecimentos cênicos (figurinos, adereços, cenário, iluminação e sonoplastia) e reconhecer seus vocabulários.","Explore the different elements involved in the composition of theatrical events (costumes, props, set design, lighting, and sound design) and recognize their respective vocabularies."
EF69AR27,EF,"6º, 7º, 8º, 9º",Arte,"Pesquisar e criar formas de dramaturgias e espaços cênicos para o acontecimento teatral, em diálogo com o teatro contemporâneo.",Research and create forms of dramaturgy and performance spaces for theatrical events in dialogue with contemporary theater.
EF69AR28,EF,"6º, 7º, 8º, 9º",Arte,Investigar e experimentar diferentes funções teatrais e discutir os limites e desafios do trabalho artístico coletivo e colaborativo.,"Investigate and experiment with different theatrical roles, and discuss the challenges and limits of collective and collaborative artistic work."
EF69AR29,EF,"6º, 7º, 8º, 9º",Arte,Experimentar a gestualidade e as construções corporais e vocais de maneira imaginativa na improvisação teatral e no jogo cênico.,Experiment with gesture and physical and vocal expression imaginatively in theatrical improvisation and scenic play.
EF69AR30,EF,"6º, 7º, 8º, 9º",Arte,"Compor improvisações e acontecimentos cênicos com base em textos dramáticos ou outros estímulos (música, imagens, objetos etc.), caracterizando personagens (com figurinos e adereços), cenário, iluminação e sonoplastia e considerando a relação com o espectador.","Compose improvisations and theatrical events based on dramatic texts or other stimuli (music, images, objects, etc.), developing characters (with costumes and props), set design, lighting, and sound design, while considering the relationship with the audience."
EF69AR31,EF,"6º, 7º, 8º, 9º",Arte,"Relacionar as práticas artísticas às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética.","Connect artistic practices to the social, cultural, political, historical, economic, aesthetic, and ethical dimensions of life."
EF69AR32,EF,"6º, 7º, 8º, 9º",Arte,"Analisar e explorar, em projetos temáticos, as relações processuais entre diversas linguagens artísticas.","Analyze and explore, through thematic projects, the processual relationships among diverse artistic disciplines."
EF69AR33,EF,"6º, 7º, 8º, 9º",Arte,"Analisar aspectos históricos, sociais e políticos da produção artística, problematizando as narrativas eurocêntricas e as diversas categorizações da arte (arte, artesanato, folclore, design etc.).","Analyze historical, social, and political aspects of artistic production, critically examining Eurocentric narratives and the various categorizations of art (fine art, craft, folklore, design, etc.)."
